time, t, R, r, q, v, a, l, step
2019-08-07_18h-20m-6s,29401,201.51600000000002,1.0075800000000001,9591.253343749999,9591.253343749999,-0.09241667133197189,0.008472092885524035,200
2019-08-07_18h-30m-13s,29601,199.344,0.9967199999999999,9601.8852109375,9601.8852109375,-0.09146118716150523,0.008366004317998886,200
2019-08-07_18h-39m-46s,29801,200.856,1.00428,9612.24801171875,9612.24801171875,-0.13301450718194247,0.008453983593732119,200
2019-08-07_18h-49m-18s,30001,201.40800000000002,1.0070400000000002,9622.47298828125,9622.47298828125,-0.10113720417767764,0.008432027999311685,200
2019-08-07_18h-58m-52s,30201,202.21200000000002,1.01106,9632.4762890625,9632.4762890625,-0.10200334924086929,0.00839421209692955,200
2019-08-07_19h-8m-27s,30401,201.324,1.00662,9642.206515625,9642.206515625,-0.11115867691487073,0.008388228908181191,200
2019-08-07_19h-17m-59s,30601,203.04000000000002,1.0152,9651.8222890625,9651.8222890625,-0.11770162194222211,0.008422810196876527,200
2019-08-07_19h-27m-35s,30801,203.16000000000003,1.0158,9661.1278984375,9661.1278984375,-0.09164447792246938,0.008401045605540275,200
2019-08-07_19h-37m-10s,31001,201.84,1.0092,9670.37441015625,9670.37441015625,-0.09702529455721379,0.008416059743613005,200
2019-08-07_19h-46m-43s,31201,201.336,1.00668,9679.4642421875,9679.4642421875,-0.1126663480848074,0.008470167826861143,200
2019-08-07_22h-59m-33s,31401,202.596,1.01298,9688.32769921875,9688.32769921875,-0.08013428556919097,0.008388378612697124,200
2019-08-07_23h-9m-9s,31601,201.912,1.00956,9696.995421875,9696.995421875,-0.12494228381663561,0.008408886428922414,200
2019-08-07_23h-18m-45s,31801,203.58,1.0179,9705.55040234375,9705.55040234375,-0.10116250845044852,0.00844817766919732,200
2019-08-07_23h-28m-21s,32001,201.312,1.0065600000000001,9713.85218359375,9713.85218359375,-0.10915188947319984,0.008436340544372797,200
2019-08-07_23h-38m-22s,32201,203.196,1.0159799999999999,9722.1023515625,9722.1023515625,-0.12369222104176877,0.008429381661117077,200
2019-08-07_23h-48m-2s,32401,202.188,1.01094,9730.1174609375,9730.1174609375,-0.11117704911530017,0.008424577031284571,200
2019-08-07_23h-57m-42s,32601,202.99200000000002,1.01496,9737.94166015625,9737.94166015625,-0.11180141361430287,0.008412969019263982,200
2019-08-08_0h-7m-32s,32801,201.096,1.00548,9745.60115234375,9745.60115234375,-0.08917311011254787,0.008398758389055728,200
2019-08-08_0h-17m-13s,33001,203.05200000000002,1.01526,9753.230546875,9753.230546875,-0.1024972560107708,0.008418777294456958,200
2019-08-08_0h-26m-53s,33201,202.224,1.01112,9760.678992187499,9760.678992187499,-0.10748852995317429,0.008434419717639686,200
2019-08-08_0h-36m-36s,33401,202.89600000000002,1.01448,9767.99366015625,9767.99366015625,-0.0805647271629423,0.00838609591126442,200
