state, action, reward
0.936;0.039;0.4805;0.4805;0.002;0.0247;0.0247,50;105;60,0.84
1.008;0.0345;0.5172;0.4483;0.002;0.03;0.026,95;55;45,0.912
1.068;0.1129;0.4516;0.4355;0.0093;0.0373;0.036,80;40;65,0.768
1.068;0.092;0.5057;0.4023;0.0053;0.0293;0.0233,65;90;60,0.9
1.104;0.0;0.4946;0.5054;0.0;0.0307;0.0313,95;65;55,0.936
0.768;0.0141;0.4366;0.5493;0.0007;0.0207;0.026,75;110;75,0.888
0.996;0.0241;0.506;0.4699;0.0013;0.028;0.026,35;95;55,1.02
1.092;0.0625;0.4286;0.5089;0.0047;0.032;0.038,105;70;40,0.852
0.948;0.0;0.5132;0.4868;0.0;0.026;0.0247,55;115;110,0.876
1.068;0.0;0.5;0.5;0.0;0.0307;0.0307,35;100;110,0.876
1.116;0.0449;0.4719;0.4831;0.0027;0.028;0.0287,80;105;120,0.948
1.116;0.0667;0.4583;0.475;0.0053;0.0367;0.038,65;40;85,0.792
1.044;0.0345;0.5172;0.4483;0.002;0.03;0.026,50;105;80,0.888
1.068;0.086;0.5054;0.4086;0.0053;0.0313;0.0253,115;50;85,0.996
0.972;0.0;0.5294;0.4706;0.0;0.03;0.0267,30;120;80,0.9
0.768;0.0109;0.5;0.4891;0.0007;0.0307;0.03,35;105;50,0.816
0.66;0.0784;0.4706;0.451;0.0053;0.032;0.0307,105;120;45,0.78
0.804;0.0;0.4932;0.5068;0.0;0.024;0.0247,60;90;95,0.84
1.032;0.0;0.5227;0.4773;0.0;0.0307;0.028,30;95;100,0.996
1.02;0.0449;0.5056;0.4494;0.0027;0.03;0.0267,55;40;50,0.84
1.164;0.0583;0.466;0.4757;0.004;0.032;0.0327,110;85;120,0.948
0.972;0.0737;0.4842;0.4421;0.0047;0.0307;0.028,100;65;120,0.828
1.08;0.0345;0.5057;0.4598;0.002;0.0293;0.0267,70;90;55,0.9
0.672;0.0118;0.5059;0.4824;0.0007;0.0287;0.0273,110;55;120,0.864
0.936;0.0;0.4756;0.5244;0.0;0.026;0.0287,80;65;105,0.924
0.888;0.0119;0.5476;0.4405;0.0007;0.0307;0.0247,85;80;35,1.02
0.972;0.0;0.5181;0.4819;0.0;0.0287;0.0267,30;30;30,1.02
1.104;0.0744;0.5207;0.405;0.006;0.042;0.0327,60;40;75,0.816
0.468;0.0;0.5;0.5;0.0;0.022;0.022,115;40;35,0.864
0.972;0.0808;0.4646;0.4545;0.0053;0.0307;0.03,100;80;90,0.912
0.972;0.0133;0.5067;0.48;0.0007;0.0253;0.024,85;95;40,0.888
0.876;0.011;0.5055;0.4835;0.0007;0.0307;0.0293,120;35;90,0.912
1.056;0.0082;0.5082;0.4836;0.0007;0.0413;0.0393,55;75;45,0.768
0.024;0.0;0.4776;0.5224;0.0;0.0213;0.0233,80;65;85,0.828
0.864;0.0128;0.5256;0.4615;0.0007;0.0273;0.024,60;95;85,0.924
0.984;0.0992;0.4959;0.405;0.008;0.04;0.0327,60;95;100,0.804
0.984;0.0238;0.5119;0.4643;0.0013;0.0287;0.026,50;45;30,0.852
1.02;0.0494;0.4815;0.4691;0.0027;0.026;0.0253,65;80;115,0.816
0.732;0.0241;0.4819;0.494;0.0013;0.0267;0.0273,45;30;95,0.924
0.912;0.0;0.4545;0.5455;0.0;0.0267;0.032,120;45;90,0.96
0.552;0.0;0.4886;0.5114;0.0;0.0287;0.03,75;120;65,0.876
1.044;0.0556;0.5111;0.4333;0.0033;0.0307;0.026,35;75;50,0.936
0.66;0.0;0.481;0.519;0.0;0.0253;0.0273,50;75;85,0.936
0.864;0.0404;0.5051;0.4545;0.0027;0.0333;0.03,105;120;50,0.852
0.996;0.0;0.5;0.5;0.0;0.0267;0.0267,55;45;35,0.924
1.104;0.0312;0.5208;0.4479;0.002;0.0333;0.0287,55;80;40,0.996
1.032;0.0083;0.5041;0.4876;0.0007;0.0407;0.0393,45;95;60,0.732
0.84;0.0;0.5443;0.4557;0.0;0.0287;0.024,85;100;30,0.9
1.02;0.0513;0.4487;0.5;0.0027;0.0233;0.026,90;110;65,0.924
0.804;0.0247;0.4815;0.4938;0.0013;0.026;0.0267,100;80;95,0.912
0.816;0.012;0.4699;0.5181;0.0007;0.026;0.0287,50;70;120,0.864
0.612;0.0;0.4896;0.5104;0.0;0.0313;0.0327,75;85;55,0.828
0.732;0.0686;0.451;0.4804;0.0047;0.0307;0.0327,105;30;100,0.828
1.008;0.0125;0.5125;0.475;0.0007;0.0273;0.0253,95;85;45,0.924
1.044;0.0714;0.5204;0.4082;0.0047;0.034;0.0267,95;45;90,0.816
0.936;0.0;0.5595;0.4405;0.0;0.0313;0.0247,75;30;120,0.948
0.876;0.0303;0.4747;0.4949;0.002;0.0313;0.0327,40;50;100,0.828
0.24;0.0;0.4627;0.5373;0.0;0.0207;0.024,95;85;60,0.852
1.104;0.051;0.4796;0.4694;0.0033;0.0313;0.0307,80;115;45,0.996
0.324;0.0;0.4853;0.5147;0.0;0.022;0.0233,50;30;100,0.864
0.96;0.0253;0.481;0.4937;0.0013;0.0253;0.026,110;35;110,0.972
0.816;0.0137;0.5068;0.4795;0.0007;0.0247;0.0233,85;30;50,0.9
0.816;0.0395;0.5132;0.4474;0.002;0.026;0.0227,70;110;50,0.96
0.996;0.0106;0.5213;0.4681;0.0007;0.0327;0.0293,70;40;50,0.876
0.78;0.0278;0.4861;0.4861;0.0013;0.0233;0.0233,110;40;35,0.84
0.9;0.012;0.4819;0.506;0.0007;0.0267;0.028,55;80;60,1.02
1.02;0.0741;0.4815;0.4444;0.0053;0.0347;0.032,115;95;30,0.972
0.456;0.0;0.4697;0.5303;0.0;0.0207;0.0233,115;45;75,0.9
1.032;0.0808;0.4848;0.4343;0.0053;0.032;0.0287,95;110;30,0.972
1.104;0.02;0.54;0.44;0.0013;0.036;0.0293,90;75;75,0.852
0.648;0.0;0.5088;0.4912;0.0;0.0387;0.0373,40;40;60,0.744
0.828;0.026;0.5065;0.4675;0.0013;0.026;0.024,90;90;45,0.888
0.996;0.03;0.51;0.46;0.002;0.034;0.0307,100;40;115,0.876
0.672;0.0098;0.5;0.4902;0.0007;0.034;0.0333,120;35;35,0.744
0.924;0.0139;0.4583;0.5278;0.0007;0.022;0.0253,110;115;80,0.852
0.648;0.0;0.4928;0.5072;0.0;0.0227;0.0233,100;60;30,0.768
0.972;0.0109;0.5326;0.4565;0.0007;0.0327;0.028,95;60;45,0.9
1.104;0.0;0.5464;0.4536;0.0;0.0353;0.0293,120;95;120,0.9
0.42;0.0;0.5072;0.4928;0.0;0.0233;0.0227,95;60;85,0.936
1.14;0.0481;0.5577;0.3942;0.0033;0.0387;0.0273,80;85;75,0.972
1.008;0.039;0.5065;0.4545;0.002;0.026;0.0233,45;70;75,0.876
0.744;0.0;0.5;0.5;0.0;0.0253;0.0253,70;90;115,0.984
0.696;0.0;0.5;0.5;0.0;0.0247;0.0247,115;85;115,0.924
1.152;0.0;0.5464;0.4536;0.0;0.0353;0.0293,105;45;115,0.948
0.636;0.0;0.5316;0.4684;0.0;0.028;0.0247,115;95;115,0.912
1.032;0.0667;0.4952;0.4381;0.0047;0.0347;0.0307,110;60;30,0.744
1.056;0.0617;0.4815;0.4568;0.0033;0.026;0.0247,110;115;100,0.948
1.116;0.0909;0.5273;0.3818;0.0067;0.0387;0.028,115;85;80,0.96
1.068;0.0617;0.5185;0.4198;0.0033;0.028;0.0227,105;45;55,0.852
1.008;0.0729;0.5417;0.3854;0.0047;0.0347;0.0247,70;105;50,0.864
1.008;0.05;0.5;0.45;0.0027;0.0267;0.024,75;115;90,0.9
0.888;0.0194;0.4854;0.4951;0.0013;0.0333;0.034,100;45;110,0.876
0.9;0.0;0.4625;0.5375;0.0;0.0247;0.0287,80;80;85,0.96
1.176;0.0116;0.593;0.3953;0.0007;0.034;0.0227,110;95;75,1.14
1.164;0.0118;0.5294;0.4588;0.0007;0.03;0.026,95;70;50,1.188
